state,year,population
Washington,1890,357232
Virginia,1890,1655980
Vermont,1890,332422
Utah,1890,210779
Texas,1890,2235527
Tennessee,1890,1767518
South Dakota,1890,348600
South Carolina,1890,1151149
Rhode Island,1890,345506
Pennsylvania,1890,5258113
Oregon,1890,317704
Oklahoma,1890,258657
Ohio,1890,3672329
North Dakota,1890,190983
North Carolina,1890,1617949
New York,1890,6003174
New Mexico,1890,160282
New Jersey,1890,1444933
New Hampshire,1890,376530
Nevada,1890,47355
Nebraska,1890,1062656
Montana,1890,142924
Missouri,1890,2679185
Mississippi,1890,1289600
Minnesota,1890,1310283
Michigan,1890,2093890
Massachusetts,1890,2238947
Maryland,1890,1042390
Maine,1890,661086
Louisiana,1890,1118588
Kentucky,1890,1858635
Kansas,1890,1428108
Iowa,1890,1912297
Indiana,1890,2192404
Illinois,1890,3826352
Idaho,1890,88548
Georgia,1890,1837353
Florida,1890,391422
District of Columbia,1890,230392
Delaware,1890,168493
Connecticut,1890,746258
Colorado,1890,413249
California,1890,1213398
Arkansas,1890,1128211
Arizona,1890,88243
Alaska,1890,32052
Wyoming,1880,20789
Wisconsin,1880,1315497
West Virginia,1880,618457
Washington,1880,75116
Virginia,1880,1512565
Vermont,1880,332286
Utah,1880,143963
Texas,1880,1591749
Tennessee,1880,1542359
South Dakota,1880,98268
South Carolina,1880,995577
Rhode Island,1880,276531
Pennsylvania,1880,4282891
Oregon,1880,174768
Ohio,1880,3198062
North Dakota,1880,36909
North Carolina,1880,1399750
New York,1880,5082871
New Mexico,1880,119565
New Jersey,1880,1131116
New Hampshire,1880,346991
Nevada,1880,62266
Nebraska,1880,452402
Montana,1880,39159
Missouri,1880,2168380
Mississippi,1880,1131597
Minnesota,1880,780773
Michigan,1880,1636937
Massachusetts,1880,1783085
Maryland,1880,934943
Maine,1880,648936
Louisiana,1880,939946
Kentucky,1880,1648690
Kansas,1880,996096
Iowa,1880,1624615
Indiana,1880,1978301
Illinois,1880,3077871
Idaho,1880,32610
Georgia,1880,1542180
Florida,1880,269493
District of Columbia,1880,177624
Delaware,1880,146608
Connecticut,1880,622700
Colorado,1880,194327
California,1880,864694
Arkansas,1880,802525
Arizona,1880,40440
Alaska,1880,33426
Wyoming,1870,9118
Wisconsin,1870,1054670
West Virginia,1870,442014
Washington,1870,23955
Virginia,1870,1225163
Vermont,1870,330551
Utah,1870,86786
Texas,1870,818579
Tennessee,1870,1258520
South Dakota,1870,11776
South Carolina,1870,705606
Rhode Island,1870,217353
Pennsylvania,1870,3521951
Oregon,1870,90923
Ohio,1870,2665260
North Dakota,1870,2405
North Carolina,1870,1071361
New York,1870,4382759
New Mexico,1870,91874
New Jersey,1870,906096
New Hampshire,1870,318300
Nevada,1870,42941
Nebraska,1870,122993
Montana,1870,20595
Missouri,1870,1721295
Mississippi,1870,827922
Minnesota,1870,439706
Michigan,1870,1184059
Massachusetts,1870,1457351
Maryland,1870,780894
Maine,1870,626915
Louisiana,1870,726915
Kentucky,1870,1321011
Kansas,1870,364399
Iowa,1870,1194020
Indiana,1870,1680637
Illinois,1870,2539891
Idaho,1870,14999
Georgia,1870,1184109
Florida,1870,187748
District of Columbia,1870,131700
Delaware,1870,125015
Connecticut,1870,537454
Colorado,1870,39864
California,1870,560247
Arkansas,1870,484471
Arizona,1870,9658
Wyoming,2024,587618
Wisconsin,2024,5960975
West Virginia,2024,1769979
Washington,2024,7958180
Virginia,2024,8811195
Vermont,2024,648493
Utah,2024,3503613
Texas,2024,31290831
Tennessee,2024,7227750
South Dakota,2024,924669
South Carolina,2024,5478831
Rhode Island,2024,1112308
Pennsylvania,2024,13078751
Oregon,2024,4272371
Oklahoma,2024,4095393
Ohio,2024,11883304
North Dakota,2024,796568
North Carolina,2024,11046024
New York,2024,19867248
New Mexico,2024,2130256
New Jersey,2024,9500851
New Hampshire,2024,1409032
Nevada,2024,3267467
Nebraska,2024,2005465
Montana,2024,1137233
Missouri,2024,6245466
Mississippi,2024,2943045
Minnesota,2024,5793151
Michigan,2024,10140459
Massachusetts,2024,7136171
Maryland,2024,6263220
Maine,2024,1405012
Louisiana,2024,4597740
Kentucky,2024,4588372
Kansas,2024,2970606
Iowa,2024,3241488
Indiana,2024,6924275
Illinois,2024,12710158
Idaho,2024,2001619
Hawaii,2024,1446146
Georgia,2024,11180878
Florida,2024,23372215
District of Columbia,2024,702250
Delaware,2024,1051917
Connecticut,2024,3675069
Colorado,2024,5957493
California,2024,39431263
Arkansas,2024,3088354
Arizona,2024,7582384
Alabama,2024,5157699
Wyoming,2023,585067
Wisconsin,2023,5930405
West Virginia,2023,1770495
Washington,2023,7857320
Virginia,2023,8734685
Vermont,2023,648708
Utah,2023,3443222
Texas,2023,30727890
Tennessee,2023,7148304
South Dakota,2023,918305
South Carolina,2023,5387830
Rhode Island,2023,1103429
Pennsylvania,2023,13017721
Oregon,2023,4253653
Oklahoma,2023,4063882
Ohio,2023,11824034
North Dakota,2023,789047
North Carolina,2023,10881189
New York,2023,19737367
New Mexico,2023,2121164
New Jersey,2023,9379642
New Hampshire,2023,1402199
Nevada,2023,3214363
Nebraska,2023,1987864
Montana,2023,1131302
Missouri,2023,6208038
Mississippi,2023,2943172
Minnesota,2023,5753048
Michigan,2023,10083356
Massachusetts,2023,7066568
Maryland,2023,6217062
Maine,2023,1399646
Louisiana,2023,4588071
Kentucky,2023,4550595
Kansas,2023,2951500
Iowa,2023,3218414
Indiana,2023,6880131
Illinois,2023,12642259
Idaho,2023,1971122
Hawaii,2023,1441387
Georgia,2023,11064432
Florida,2023,22904868
District of Columbia,2023,687324
Delaware,2023,1036423
Connecticut,2023,3643023
Colorado,2023,5901339
California,2023,39198693
Arkansas,2023,3069463
Arizona,2023,7473027
Alabama,2023,5117673
Wyoming,2022,581978
Wisconsin,2022,5903975
West Virginia,2022,1774122
Washington,2022,7794123
Virginia,2022,8683414
Vermont,2022,648142
Utah,2022,3391011
Texas,2022,30113488
Tennessee,2022,7062217
South Dakota,2022,909723
South Carolina,2022,5287935
Rhode Island,2022,1099498
Pennsylvania,2022,12984990
Oregon,2022,4247372
Oklahoma,2022,4026229
Ohio,2022,11777874
North Dakota,2022,781057
North Carolina,2022,10710793
New York,2022,19703747
New Mexico,2022,2113868
New Jersey,2022,9295227
New Hampshire,2022,1396678
Nevada,2022,3176116
Nebraska,2022,1972246
Montana,2022,1122095
Missouri,2022,6179414
Mississippi,2022,2941939
Minnesota,2022,5721621
Michigan,2022,10050877
Massachusetts,2022,7022468
Maryland,2022,6192440
Maine,2022,1390922
Louisiana,2022,4593687
Kentucky,2022,4519233
Kansas,2022,2937324
Iowa,2022,3202820
Indiana,2022,6844545
Illinois,2022,12621821
Idaho,2022,1944299
Hawaii,2022,1440359
Georgia,2022,10931805
Florida,2022,22379312
District of Columbia,2022,676725
Delaware,2022,1020625
Connecticut,2022,3617925
Colorado,2022,5850935
California,2022,39142414
Arkansas,2022,3047704
Arizona,2022,7377566
Alabama,2022,5076181
Wyoming,2021,579636
Wisconsin,2021,5881608
West Virginia,2021,1785618
Washington,2021,7743760
Virginia,2021,8658910
Vermont,2021,647210
Utah,2021,3339738
Texas,2021,29570351
Tennessee,2021,6965740
South Dakota,2021,896492
South Carolina,2021,5194274
Rhode Island,2021,1097246
Pennsylvania,2021,13015571
Oregon,2021,4254280
Oklahoma,2021,3992238
Ohio,2021,11767344
North Dakota,2021,777966
North Carolina,2021,10564320
New York,2021,19848276
New Mexico,2021,2117333
New Jersey,2021,9270541
New Hampshire,2021,1387677
Nevada,2021,3148141
Nebraska,2021,1964537
Montana,2021,1106522
Missouri,2021,6171374
Mississippi,2021,2947209
Minnesota,2021,5718660
Michigan,2021,10041351
Massachusetts,2021,7000474
Maryland,2021,6179403
Maine,2021,1378931
Louisiana,2021,4627971
Kentucky,2021,4507583
Kansas,2021,2938338
Iowa,2021,3198613
Indiana,2021,6815907
Illinois,2021,12700641
Idaho,2021,1904848
Hawaii,2021,1447029
Georgia,2021,10792060
Florida,2021,21831949
District of Columbia,2021,669256
Delaware,2021,1005062
Connecticut,2021,3606607
Colorado,2021,5814036
California,2021,39142565
Arkansas,2021,3026870
Arizona,2021,7274078
Alabama,2021,5049196
Wyoming,2020,577681
Wisconsin,2020,5897375
West Virginia,2020,1791646
Washington,2020,7727209
Virginia,2020,8637615
Vermont,2020,642977
Utah,2020,3284077
Texas,2020,29239570
Tennessee,2020,6927904
South Dakota,2020,887948
South Carolina,2020,5132249
Rhode Island,2020,1096530
Pennsylvania,2020,12996143
Oregon,2020,4243779
Oklahoma,2020,3965415
Ohio,2020,11798905
North Dakota,2020,779563
North Carolina,2020,10449652
New York,2020,20105171
New Mexico,2020,2118606
New Jersey,2020,9272794
New Hampshire,2020,1378756
Nevada,2020,3116967
Nebraska,2020,1963387
Montana,2020,1087230
Missouri,2020,6154744
Mississippi,2020,2958536
Minnesota,2020,5710735
Michigan,2020,10072703
Massachusetts,2020,6994598
Maryland,2020,6177935
Maine,2020,1364571
Louisiana,2020,4652301
Kentucky,2020,4508318
Kansas,2020,2938172
Iowa,2020,3191141
Indiana,2020,6790497
Illinois,2020,12799088
Idaho,2020,1849415
Hawaii,2020,1451252
Georgia,2020,10732888
Florida,2020,21592035
District of Columbia,2020,670917
Delaware,2020,991928
Connecticut,2020,3579918
Colorado,2020,5787129
California,2020,39521958
Arkansas,2020,3014546
Arizona,2020,7187135
Alabama,2020,5033094
Wyoming,2019,580116
Wisconsin,2019,5824581
West Virginia,2019,1795263
Washington,2019,7614024
Virginia,2019,8556642
Vermont,2019,624046
Utah,2019,3203383
Texas,2019,28986794
Tennessee,2019,6830325
South Dakota,2019,887127
South Carolina,2019,5157702
Rhode Island,2019,1058158
Pennsylvania,2019,12798883
Oregon,2019,4216116
Oklahoma,2019,3960676
Ohio,2019,11696507
North Dakota,2019,763724
North Carolina,2019,10501384
New York,2019,19463131
New Mexico,2019,2099634
New Jersey,2019,8891258
New Hampshire,2019,1360783
Nevada,2019,3090771
Nebraska,2019,1932571
Montana,2019,1070123
Missouri,2019,6140475
Mississippi,2019,2978227
Minnesota,2019,5640053
Michigan,2019,9984795
Massachusetts,2019,6894883
Maryland,2019,6054954
Maine,2019,1345770
Louisiana,2019,4658285
Kentucky,2019,4472345
Kansas,2019,2912635
Iowa,2019,3159596
Indiana,2019,6731010
Illinois,2019,12667017
Idaho,2019,1789060
Hawaii,2019,1415615
Georgia,2019,10628020
Florida,2019,21492056
District of Columbia,2019,708253
Delaware,2019,976668
Connecticut,2019,3566022
Colorado,2019,5758486
California,2019,39437610
Arkansas,2019,3020985
Arizona,2019,7291843
Alabama,2019,4907965
Wyoming,2018,579054
Wisconsin,2018,5809319
West Virginia,2018,1805953
Washington,2018,7526793
Virginia,2018,8510920
Vermont,2018,624802
Utah,2018,3155153
Texas,2018,28624564
Tennessee,2018,6778180
South Dakota,2018,879386
South Carolina,2018,5091702
Rhode Island,2018,1059338
Pennsylvania,2018,12809107
Oregon,2018,4183537
Oklahoma,2018,3943488
Ohio,2018,11680892
North Dakota,2018,760062
North Carolina,2018,10391358
New York,2018,19544098
New Mexico,2018,2093754
New Jersey,2018,8891730
New Hampshire,2018,1355064
Nevada,2018,3030725
Nebraska,2018,1925512
Montana,2018,1061818
Missouri,2018,6125986
Mississippi,2018,2982879
Minnesota,2018,5608762
Michigan,2018,9987286
Massachusetts,2018,6885720
Maryland,2018,6042153
Maine,2018,1340123
Louisiana,2018,4664450
Kentucky,2018,4464273
Kansas,2018,2912748
Iowa,2018,3149900
Indiana,2018,6698481
Illinois,2018,12724685
Idaho,2018,1752074
Hawaii,2018,1423102
Georgia,2018,10519389
Florida,2018,21254926
District of Columbia,2018,704147
Delaware,2018,966985
Connecticut,2018,3574561
Colorado,2018,5697155
California,2018,39437463
Arkansas,2018,3012161
Arizona,2018,7164228
Alabama,2018,4891628
Wyoming,2017,579994
Wisconsin,2017,5793147
West Virginia,2017,1818683
Washington,2017,7427951
Virginia,2017,8471011
Vermont,2017,625132
Utah,2017,3103540
Texas,2017,28291024
Tennessee,2017,6714748
South Dakota,2017,873732
South Carolina,2017,5027102
Rhode Island,2017,1056554
Pennsylvania,2017,12794679
Oregon,2017,4147294
Oklahoma,2017,3933602
Ohio,2017,11665706
North Dakota,2017,756755
North Carolina,2017,10275758
New York,2017,19593849
New Mexico,2017,2092844
New Jersey,2017,8888147
New Hampshire,2017,1350395
Nevada,2017,2972097
Nebraska,2017,1916998
Montana,2017,1053862
Missouri,2017,6111382
Mississippi,2017,2990674
Minnesota,2017,5569283
Michigan,2017,9976752
Massachusetts,2017,6863560
Maryland,2017,6028186
Maine,2017,1335743
Louisiana,2017,4673673
Kentucky,2017,4455590
Kansas,2017,2910892
Iowa,2017,3143734
Indiana,2017,6662068
Illinois,2017,12779893
Idaho,2017,1719745
Hawaii,2017,1425763
Georgia,2017,10417031
Florida,2017,20977089
District of Columbia,2017,697079
Delaware,2017,957942
Connecticut,2017,3575324
Colorado,2017,5617421
California,2017,39337785
Arkansas,2017,3003855
Arizona,2017,7048088
Alabama,2017,4877989
Wyoming,2016,585243
Wisconsin,2016,5775170
West Virginia,2016,1832435
Washington,2016,7299961
Virginia,2016,8417651
Vermont,2016,624366
Utah,2016,3044241
Texas,2016,27914064
Tennessee,2016,6651277
South Dakota,2016,863693
South Carolina,2016,4963031
Rhode Island,2016,1057816
Pennsylvania,2016,12788468
Oregon,2016,4093271
Oklahoma,2016,3928143
Ohio,2016,11640060
North Dakota,2016,756114
North Carolina,2016,10161802
New York,2016,19636391
New Mexico,2016,2092554
New Jersey,2016,8873584
New Hampshire,2016,1343694
Nevada,2016,2919555
Nebraska,2016,1906483
Montana,2016,1042137
Missouri,2016,6091384
Mississippi,2016,2990595
Minnesota,2016,5525360
Michigan,2016,9954117
Massachusetts,2016,6827280
Maryland,2016,6007014
Maine,2016,1332348
Louisiana,2016,4681346
Kentucky,2016,4440306
Kansas,2016,2912977
Iowa,2016,3133210
Indiana,2016,6637898
Illinois,2016,12821709
Idaho,2016,1684036
Hawaii,2016,1428885
Georgia,2016,10308442
Florida,2016,20627237
District of Columbia,2016,687576
Delaware,2016,949989
Connecticut,2016,3579830
Colorado,2016,5543844
California,2016,39149186
Arkansas,2016,2991815
Arizona,2016,6944767
Alabama,2016,4866824
Wyoming,2015,586389
Wisconsin,2015,5762927
West Virginia,2015,1843332
Washington,2015,7167287
Virginia,2015,8367303
Vermont,2015,625810
Utah,2015,2983626
Texas,2015,27468531
Tennessee,2015,6595354
South Dakota,2015,854663
South Carolina,2015,4896006
Rhode Island,2015,1056886
Pennsylvania,2015,12789838
Oregon,2015,4018542
Oklahoma,2015,3910518
Ohio,2015,11622315
North Dakota,2015,755537
North Carolina,2015,10037218
New York,2015,19657321
New Mexico,2015,2090071
New Jersey,2015,8870312
New Hampshire,2015,1337480
Nevada,2015,2868531
Nebraska,2015,1892059
Montana,2015,1031494
Missouri,2015,6075411
Mississippi,2015,2990231
Minnesota,2015,5484002
Michigan,2015,9934483
Massachusetts,2015,6797484
Maryland,2015,5988528
Maine,2015,1329098
Louisiana,2015,4666998
Kentucky,2015,4429126
Kansas,2015,2910717
Iowa,2015,3122541
Indiana,2015,6611442
Illinois,2015,12859585
Idaho,2015,1652495
Hawaii,2015,1422999
Georgia,2015,10183353
Florida,2015,20219111
District of Columbia,2015,677014
Delaware,2015,942065
Connecticut,2015,3588561
Colorado,2015,5454328
California,2015,38904296
Arkansas,2015,2979732
Arizona,2015,6832810
Alabama,2015,4854803
Wyoming,2014,583159
Wisconsin,2014,5753199
West Virginia,2014,1850569
Washington,2014,7057531
Virginia,2014,8315430
Vermont,2014,625693
Utah,2014,2938327
Texas,2014,26963092
Tennessee,2014,6544617
South Dakota,2014,849670
South Carolina,2014,4826858
Rhode Island,2014,1056511
Pennsylvania,2014,12792392
Oregon,2014,3965447
Oklahoma,2014,3879187
Ohio,2014,11606573
North Dakota,2014,738736
North Carolina,2014,9937295
New York,2014,19653431
New Mexico,2014,2090235
New Jersey,2014,8867277
New Hampshire,2014,1334257
Nevada,2014,2818935
Nebraska,2014,1879955
Montana,2014,1022657
Missouri,2014,6059130
Mississippi,2014,2991892
Minnesota,2014,5452665
Michigan,2014,9932033
Massachusetts,2014,6764864
Maryland,2014,5960064
Maine,2014,1331217
Louisiana,2014,4645938
Kentucky,2014,4416992
Kansas,2014,2901861
Iowa,2014,3110643
Indiana,2014,6596019
Illinois,2014,12885092
Idaho,2014,1632248
Hawaii,2014,1415335
Georgia,2014,10071204
Florida,2014,19853880
District of Columbia,2014,663603
Delaware,2014,933131
Connecticut,2014,3595697
Colorado,2014,5352637
California,2014,38586706
Arkansas,2014,2968759
Arizona,2014,6732873
Alabama,2014,4843737
Wyoming,2013,582620
Wisconsin,2013,5738012
West Virginia,2013,1854768
Washington,2013,6966252
Virginia,2013,8255861
Vermont,2013,626603
Utah,2013,2898773
Texas,2013,26479646
Tennessee,2013,6496943
South Dakota,2013,842751
South Carolina,2013,4766469
Rhode Island,2013,1055560
Pennsylvania,2013,12779538
Oregon,2013,3924110
Oklahoma,2013,3853891
Ohio,2013,11579692
North Dakota,2013,723149
North Carolina,2013,9846717
New York,2013,19626488
New Mexico,2013,2092833
New Jersey,2013,8857821
New Hampshire,2013,1327272
Nevada,2013,2776956
Nebraska,2013,1865813
Montana,2013,1014158
Missouri,2013,6042989
Mississippi,2013,2989839
Minnesota,2013,5414722
Michigan,2013,9914802
Massachusetts,2013,6715158
Maryland,2013,5925197
Maine,2013,1328543
Louisiana,2013,4626040
Kentucky,2013,4406906
Kansas,2013,2894306
Iowa,2013,3093935
Indiana,2013,6570575
Illinois,2013,12895778
Idaho,2013,1612053
Hawaii,2013,1408822
Georgia,2013,9975592
Florida,2013,19551678
District of Columbia,2013,651559
Delaware,2013,924062
Connecticut,2013,3595792
Colorado,2013,5270774
California,2013,38253768
Arkansas,2013,2960459
Arizona,2013,6634690
Alabama,2013,4831586
Wyoming,2012,576656
Wisconsin,2012,5720825
West Virginia,2012,1857446
Washington,2012,6898599
Virginia,2012,8187456
Vermont,2012,626361
Utah,2012,2854146
Texas,2012,26084120
Tennessee,2012,6455752
South Dakota,2012,833859
South Carolina,2012,4719027
Rhode Island,2012,1054893
Pennsylvania,2012,12769123
Oregon,2012,3900102
Oklahoma,2012,3819320
Ohio,2012,11550971
North Dakota,2012,702227
North Carolina,2012,9751810
New York,2012,19574362
New Mexico,2012,2087715
New Jersey,2012,8845671
New Hampshire,2012,1324677
Nevada,2012,2744670
Nebraska,2012,1853691
Montana,2012,1004168
Missouri,2012,6026027
Mississippi,2012,2984599
Minnesota,2012,5377500
Michigan,2012,9898289
Massachusetts,2012,6664269
Maryland,2012,5888375
Maine,2012,1328094
Louisiana,2012,4602067
Kentucky,2012,4387865
Kansas,2012,2886024
Iowa,2012,3076844
Indiana,2012,6538989
Illinois,2012,12883029
Idaho,2012,1595910
Hawaii,2012,1395199
Georgia,2012,9903580
Florida,2012,19302016
District of Columbia,2012,635737
Delaware,2012,915518
Connecticut,2012,3595211
Colorado,2012,5193660
California,2012,37944551
Arkansas,2012,2952876
Arizona,2012,6556344
Alabama,2012,4816632
Wyoming,2011,567491
Wisconsin,2011,5705840
West Virginia,2011,1856606
Washington,2011,6827479
Virginia,2011,8102437
Vermont,2011,627197
Utah,2011,2814797
Texas,2011,25645504
Tennessee,2011,6400298
South Dakota,2011,823740
South Carolina,2011,4672655
Rhode Island,2011,1053829
Pennsylvania,2011,12747052
Oregon,2011,3872672
Oklahoma,2011,3788824
Ohio,2011,11545735
North Dakota,2011,685526
North Carolina,2011,9658913
New York,2011,19499921
New Mexico,2011,2080706
New Jersey,2011,8828552
New Hampshire,2011,1320444
Nevada,2011,2713114
Nebraska,2011,1840914
Montana,2011,997518
Missouri,2011,6011182
Mississippi,2011,2979147
Minnesota,2011,5346620
Michigan,2011,9883053
Massachusetts,2011,6614218
Maryland,2011,5840241
Maine,2011,1328473
Louisiana,2011,4576244
Kentucky,2011,4370817
Kansas,2011,2869677
Iowa,2011,3066772
Indiana,2011,6517250
Illinois,2011,12867783
Idaho,2011,1584272
Hawaii,2011,1379562
Georgia,2011,9803630
Florida,2011,19055607
District of Columbia,2011,620290
Delaware,2011,907590
Connecticut,2011,3588632
Colorado,2011,5121900
California,2011,37636311
Arkansas,2011,2941038
Arizona,2011,6473416
Alabama,2011,4799642
Wyoming,2010,564531
Wisconsin,2010,5690538
West Virginia,2010,1854265
Washington,2010,6743009
Virginia,2010,8024004
Vermont,2010,625886
Utah,2010,2775413
Texas,2010,25241897
Tennessee,2010,6355518
South Dakota,2010,816193
South Carolina,2010,4635846
Rhode Island,2010,1053994
Pennsylvania,2010,12711406
Oregon,2010,3837614
Oklahoma,2010,3760014
Ohio,2010,11539449
North Dakota,2010,674752
North Carolina,2010,9574586
New York,2010,19399956
New Mexico,2010,2064614
New Jersey,2010,8799451
New Hampshire,2010,1316807
Nevada,2010,2702483
Nebraska,2010,1829591
Montana,2010,990730
Missouri,2010,5996089
Mississippi,2010,2970615
Minnesota,2010,5310934
Michigan,2010,9877597
Massachusetts,2010,6566440
Maryland,2010,5788784
Maine,2010,1327651
Louisiana,2010,4544635
Kentucky,2010,4348464
Kansas,2010,2858266
Iowa,2010,3050819
Indiana,2010,6490555
Illinois,2010,12840545
Idaho,2010,1570819
Hawaii,2010,1364004
Georgia,2010,9712209
Florida,2010,18846143
District of Columbia,2010,605282
Delaware,2010,899647
Connecticut,2010,3579173
Colorado,2010,5047539
California,2010,37319550
Arkansas,2010,2921998
Arizona,2010,6407342
Alabama,2010,4785514
Wyoming,2009,559851
Wisconsin,2009,5669264
West Virginia,2009,1847775
Washington,2009,6667426
Virginia,2009,7925937
Vermont,2009,624817
Utah,2009,2723421
Texas,2009,24801761
Tennessee,2009,6306019
South Dakota,2009,807067
South Carolina,2009,4589872
Rhode Island,2009,1053646
Pennsylvania,2009,12666858
Oregon,2009,3808600
Oklahoma,2009,3717572
Ohio,2009,11528896
North Dakota,2009,664968
North Carolina,2009,9449566
New York,2009,19307066
New Mexico,2009,2036802
New Jersey,2009,8755602
New Hampshire,2009,1316102
Nevada,2009,2684665
Nebraska,2009,1812683
Montana,2009,983982
